arrangement_id,update_datetime,requester_staff_id,wfh_date,wfh_type,current_approval_status,approving_officer,delegate_approving_officer,reason_description,batch_id,latest_log_id,supporting_doc_1,supporting_doc_2,supporting_doc_3,status_reason
1,2025-09-08T07:57:09Z,190032,2025-05-03,FULL,PENDING_WITHDRAWAL,150008,,WFH - Taking a day for self-care or to manage stress and prevent burnout.,49,1,None,None,None,None
2,2025-05-02T02:08:29Z,150126,2025-09-20,PM,APPROVED,151408,140001,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",40,1,None,None,None,None
3,2025-02-08T23:28:14Z,151608,2025-04-07,PM,WITHDRAWN,151408,140001,"WFH - Taking care of a family member, elderly care, or childcare issues.",63,1,None,None,None,None
4,2024-12-27T15:25:27Z,160212,2025-07-04,PM,REJECTED,160008,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",94,1,None,None,None,None
5,2025-08-01T21:06:50Z,151584,2024-12-26,PM,PENDING_WITHDRAWAL,151408,140001,"WFH - Planned time off to recharge, travel, or enjoy a break.",3,1,None,None,None,None
6,2025-04-22T09:49:12Z,151547,2024-12-18,AM,CANCELLED,151408,140001,"WFH - Weather disruptions, transportation issues, or emergencies.",32,1,None,None,None,None
7,2025-01-15T06:22:53Z,190025,2024-12-14,PM,REJECTED,150008,,"OOO - Weather disruptions, transportation issues, or emergencies.",18,1,None,None,None,None
8,2025-06-08T07:57:09Z,151534,2024-12-31,FULL,APPROVED,151408,140001,"WFH - Weather disruptions, transportation issues, or emergencies.",85,1,None,None,None,None
9,2025-10-10T02:02:06Z,160305,2025-08-16,FULL,PENDING_APPROVAL,160008,,"OOO - Attending a family wedding, birthday, or significant milestone celebration.",71,1,None,None,None,None
10,2025-09-18T09:06:16Z,151560,2025-08-31,PM,APPROVED,151408,140001,OOO - Celebrating a religious holiday or participating in a faith-based event.,91,1,None,None,None,None
11,2024-11-13T12:00:07Z,150233,2025-03-19,PM,APPROVED,151408,140001,WFH - Celebrating a religious holiday or participating in a faith-based event.,8,1,None,None,None,None
12,2025-06-08T01:50:01Z,210042,2025-01-21,PM,APPROVED,210001,,"WFH - Taking leave to attend a course, certification, or exam preparation.",83,1,None,None,None,None
13,2024-12-27T03:03:42Z,160329,2025-11-13,FULL,PENDING_WITHDRAWAL,160008,,"WFH - Taking care of a family member, elderly care, or childcare issues.",82,1,None,None,None,None
14,2025-01-07T10:11:29Z,170233,2025-06-13,AM,WITHDRAWN,171009,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",50,1,None,None,None,None
15,2025-07-01T02:38:05Z,160146,2025-01-19,AM,CANCELLED,160008,,OOO - Moving to a new home or handling logistics related to a recent move.,30,1,None,None,None,None
16,2025-10-11T01:35:08Z,180015,2025-11-17,AM,PENDING_WITHDRAWAL,180001,,"OOO - Planned time off to recharge, travel, or enjoy a break.",2,1,None,None,None,None
17,2025-02-25T03:27:20Z,140878,2025-04-12,AM,WITHDRAWN,140894,,"OOO - Taking care of a family member, elderly care, or childcare issues.",52,1,None,None,None,None
18,2025-06-25T08:11:37Z,150008,2025-08-25,PM,APPROVED,130002,,"WFH - Taking care of a family member, elderly care, or childcare issues.",67,1,None,None,None,None
19,2025-06-08T07:57:09Z,160303,2025-01-08,AM,REJECTED,160008,,"WFH - Weather disruptions, transportation issues, or emergencies.",66,1,None,None,None,None
20,2025-11-08T03:52:53Z,150565,2025-04-15,FULL,CANCELLED,151408,140001,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",38,1,None,None,None,None
21,2025-01-31T10:16:28Z,140948,2025-08-30,FULL,REJECTED,140879,,"WFH - Taking care of a family member, elderly care, or childcare issues.",5,1,None,None,None,None
22,2025-02-11T03:29:01Z,151525,2025-07-13,FULL,REJECTED,151408,140001,"WFH - Taking leave to attend a course, certification, or exam preparation.",39,1,None,None,None,None
23,2025-10-23T20:10:46Z,151058,2024-11-27,AM,WITHDRAWN,151408,140001,"OOO - Handling important personal matters such as legal appointments, bank work, or home repairs.",7,1,None,None,None,None
24,2025-03-02T18:31:08Z,171044,2025-05-27,AM,PENDING_APPROVAL,171029,,"WFH - Taking leave to attend a course, certification, or exam preparation.",51,1,None,None,None,None
25,2025-06-11T11:53:25Z,171048,2025-08-31,AM,CANCELLED,171029,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",2,1,None,None,None,None
26,2025-06-08T07:57:09Z,190037,2024-12-15,PM,CANCELLED,150008,,WFH - Celebrating a religious holiday or participating in a faith-based event.,98,1,None,None,None,None
27,2025-09-22T03:02:41Z,180019,2025-01-21,FULL,CANCELLED,180001,,"OOO - Planned time off to recharge, travel, or enjoy a break.",8,1,None,None,None,None
28,2024-11-04T02:39:46Z,190035,2024-12-07,FULL,REJECTED,150008,,"WFH - Attending a family wedding, birthday, or significant milestone celebration.",62,1,None,None,None,None
29,2024-11-05T22:52:53Z,180025,2025-10-10,PM,WITHDRAWN,180001,,"WFH - Taking leave to attend a course, certification, or exam preparation.",74,1,None,None,None,None
30,2025-05-24T17:31:48Z,160308,2025-01-05,AM,REJECTED,160008,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",11,1,None,None,None,None
31,2025-10-07T18:14:31Z,190021,2025-07-06,AM,PENDING_APPROVAL,150008,,WFH - Celebrating a religious holiday or participating in a faith-based event.,11,1,None,None,None,None
32,2025-06-08T07:57:09Z,151459,2025-10-18,FULL,CANCELLED,151408,140001,WFH - Moving to a new home or handling logistics related to a recent move.,85,1,None,None,None,None
