arrangement_id,update_datetime,requester_staff_id,wfh_date,wfh_type,current_approval_status,approving_officer,delegate_approving_offer,reason_description,batch_id,latest_log_id,supporting_doc_1,supporting_doc_2,supporting_doc_3,status_reason,I
1,2025-09-08T07:57:09Z,190032.0,3/5/25,FULL,PENDING_WITHDRAWAL,150008.0,,,49,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
2,2025-05-02T02:08:29Z,150126.0,20/9/25,PM,APPROVED,151408.0,,,40,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
3,2025-02-08T23:28:14Z,151608.0,7/4/25,PM,WITHDRAWN,151408.0,,,63,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
4,2024-12-27T15:25:27Z,160212.0,4/7/25,PM,REJECTED,160008.0,,,94,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
5,2025-08-01T21:06:50Z,151584.0,26/12/24,PM,PENDING_WITHDRAWAL,151408.0,,,3,1,,,,,"WFH - Planned time off to recharge, travel, or enjoy a break."
6,2025-04-22T09:49:12Z,151547.0,18/12/24,AM,CANCELLED,151408.0,,,32,1,,,,,"WFH - Weather disruptions, transportation issues, or emergencies."
7,2025-01-15T06:22:53Z,190025.0,14/12/24,PM,REJECTED,150008.0,,,18,1,,,,,"OOO - Weather disruptions, transportation issues, or emergencies."
8,2025-06-08T07:57:09Z,151534.0,31/12/24,FULL,APPROVED,151408.0,,,85,1,,,,,"WFH - Weather disruptions, transportation issues, or emergencies."
9,2025-10-10T02:02:06Z,160305.0,16/8/25,FULL,PENDING_APPROVAL,160008.0,,,71,1,,,,,"OOO - Attending a family wedding, birthday, or significant milestone celebration."
10,2025-09-18T09:06:16Z,151560.0,31/8/25,PM,APPROVED,151408.0,,,91,1,,,,,OOO - Celebrating a religious holiday or participating in a faith-based event.
11,2024-11-13T12:00:07Z,150233.0,19/3/25,PM,APPROVED,151408.0,,,8,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
12,2025-06-08T01:50:01Z,210042.0,21/1/25,PM,APPROVED,210001.0,,,83,1,,,,,"WFH - Taking leave to attend a course, certification, or exam preparation."
13,2024-12-27T03:03:42Z,160329.0,13/11/25,FULL,PENDING_WITHDRAWAL,160008.0,,,82,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
14,2025-01-07T10:11:29Z,170233.0,13/6/25,AM,WITHDRAWN,171009.0,,,50,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
15,2025-07-01T02:38:05Z,160146.0,19/1/25,AM,CANCELLED,160008.0,,,30,1,,,,,OOO - Moving to a new home or handling logistics related to a recent move.
16,2025-10-11T01:35:08Z,180015.0,17/11/25,AM,PENDING_WITHDRAWAL,180001.0,,,2,1,,,,,"OOO - Planned time off to recharge, travel, or enjoy a break."
17,2025-02-25T03:27:20Z,140878.0,12/4/25,AM,WITHDRAWN,140894.0,,,52,1,,,,,"OOO - Taking care of a family member, elderly care, or childcare issues."
18,2025-06-25T08:11:37Z,150008.0,25/8/25,PM,APPROVED,130002.0,,,67,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
19,2025-06-08T07:57:09Z,160303.0,8/1/25,AM,REJECTED,160008.0,,,66,1,,,,,"WFH - Weather disruptions, transportation issues, or emergencies."
20,2025-11-08T03:52:53Z,150565.0,15/4/25,FULL,CANCELLED,151408.0,,,38,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
21,2025-01-31T10:16:28Z,140948.0,30/8/25,FULL,REJECTED,140879.0,,,5,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
22,2025-02-11T03:29:01Z,151525.0,13/7/25,FULL,REJECTED,151408.0,,,39,1,,,,,"WFH - Taking leave to attend a course, certification, or exam preparation."
23,2025-10-23T20:10:46Z,151058.0,27/11/24,AM,WITHDRAWN,151408.0,,,7,1,,,,,"OOO - Handling important personal matters such as legal appointments, bank work, or home repairs."
24,2025-03-02T18:31:08Z,171044.0,27/5/25,AM,PENDING_APPROVAL,171029.0,,,51,1,,,,,"WFH - Taking leave to attend a course, certification, or exam preparation."
25,2025-06-11T11:53:25Z,171048.0,31/8/25,AM,CANCELLED,171029.0,,,2,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
26,2025-06-08T07:57:09Z,190037.0,15/12/24,PM,CANCELLED,150008.0,,,98,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
27,2025-09-22T03:02:41Z,180019.0,21/1/25,FULL,CANCELLED,180001.0,,,8,1,,,,,"OOO - Planned time off to recharge, travel, or enjoy a break."
28,2024-11-04T02:39:46Z,190035.0,7/12/24,FULL,REJECTED,150008.0,,,62,1,,,,,"WFH - Attending a family wedding, birthday, or significant milestone celebration."
29,2024-11-05T22:52:53Z,180025.0,10/10/25,PM,WITHDRAWN,180001.0,,,74,1,,,,,"WFH - Taking leave to attend a course, certification, or exam preparation."
30,2025-05-24T17:31:48Z,160308.0,5/1/25,AM,REJECTED,160008.0,,,11,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
31,2025-10-07T18:14:31Z,190021.0,6/7/25,AM,PENDING_APPROVAL,150008.0,,,11,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
32,2025-06-08T07:57:09Z,151459.0,18/10/25,FULL,CANCELLED,151408.0,,,85,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
33,2025-03-25T11:14:32Z,140911.0,29/11/24,PM,CANCELLED,140944.0,,,83,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
34,2025-03-24T23:09:28Z,140015.0,20/8/25,AM,APPROVED,140894.0,,,26,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
35,2025-02-20T19:23:06Z,150282.0,28/11/24,AM,PENDING_APPROVAL,151408.0,,,25,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
36,2025-11-07T14:17:58Z,151601.0,27/1/25,FULL,PENDING_APPROVAL,151408.0,,,51,1,,,,,"WFH - Attending a family wedding, birthday, or significant milestone celebration."
37,2024-11-11T11:27:30Z,151610.0,15/12/24,PM,APPROVED,151408.0,,,2,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
38,2025-05-16T23:16:13Z,140948.0,3/9/25,AM,REJECTED,140879.0,,,98,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
39,2025-11-15T20:08:34Z,170233.0,1/10/25,FULL,WITHDRAWN,171009.0,,,57,1,,,,,"WFH - Weather disruptions, transportation issues, or emergencies."
40,2025-08-13T11:38:36Z,151499.0,17/6/25,PM,REJECTED,151408.0,,,84,1,,,,,"WFH - Planned time off to recharge, travel, or enjoy a break."
41,2025-11-03T08:45:23Z,150356.0,27/11/25,PM,REJECTED,151408.0,,,6,1,,,,,"OOO - Taking leave to attend a course, certification, or exam preparation."
42,2025-05-05T13:29:58Z,151481.0,7/11/25,AM,APPROVED,151408.0,,,75,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
43,2025-03-28T15:26:38Z,190095.0,17/6/25,FULL,PENDING_APPROVAL,150008.0,,,62,1,,,,,"OOO - Taking leave to attend a course, certification, or exam preparation."
44,2025-08-22T18:18:46Z,150168.0,6/10/25,FULL,PENDING_APPROVAL,151408.0,,,71,1,,,,,"WFH - Attending a family wedding, birthday, or significant milestone celebration."
45,2025-05-22T17:33:31Z,150095.0,7/8/25,AM,PENDING_APPROVAL,151408.0,,,49,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
46,2025-06-04T07:33:29Z,190040.0,8/8/25,PM,PENDING_APPROVAL,150008.0,,,88,1,,,,,"WFH - Taking leave to attend a course, certification, or exam preparation."
